Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 0.3846, 'grad_norm': 0.7220730143970989, 'learning_rate': 4.6913290907099885e-05, 'epoch': 0.19}
{'loss': 0.3635, 'grad_norm': 0.7685101053584074, 'learning_rate': 4.6771261820016666e-05, 'epoch': 0.19}
{'loss': 0.4476, 'grad_norm': 1.002085104120676, 'learning_rate': 4.6626263297751546e-05, 'epoch': 0.2}
{'loss': 0.4155, 'grad_norm': 1.125031642350684, 'learning_rate': 4.6478315117004537e-05, 'epoch': 0.2}
{'loss': 0.3908, 'grad_norm': 0.5862407276205117, 'learning_rate': 4.632743745678667e-05, 'epoch': 0.21}
{'loss': 0.4476, 'grad_norm': 0.7555436924228196, 'learning_rate': 4.617365089566782e-05, 'epoch': 0.21}
{'loss': 0.3719, 'grad_norm': 0.9598776817943887, 'learning_rate': 4.6016976408969893e-05, 'epoch': 0.21}
{'loss': 0.4534, 'grad_norm': 1.1248488620190402, 'learning_rate': 4.585743536590599e-05, 'epoch': 0.22}
{'loss': 0.4121, 'grad_norm': 0.9835448974608916, 'learning_rate': 4.5695049526665736e-05, 'epoch': 0.22}
{'loss': 0.4276, 'grad_norm': 0.9727983365329698, 'learning_rate': 4.552984103944746e-05, 'epoch': 0.22}
{'loss': 0.4142, 'grad_norm': 0.6548330880165291, 'learning_rate': 4.5361832437437254e-05, 'epoch': 0.23}
{'loss': 0.4025, 'grad_norm': 0.8402190857222711, 'learning_rate': 4.5191046635735666e-05, 'epoch': 0.23}
{'loss': 0.4136, 'grad_norm': 1.0597366710675722, 'learning_rate': 4.5017506928232247e-05, 'epoch': 0.23}
{'loss': 0.4013, 'grad_norm': 0.98564464429118, 'learning_rate': 4.4841236984428426e-05, 'epoch': 0.24}
{'loss': 0.4805, 'grad_norm': 0.857642404160253, 'learning_rate': 4.466226084620919e-05, 'epoch': 0.24}
{'loss': 0.4465, 'grad_norm': 0.8496779138615905, 'learning_rate': 4.4480602924563954e-05, 'epoch': 0.24}
{'loss': 0.3693, 'grad_norm': 0.5451300870440056, 'learning_rate': 4.4296287996257034e-05, 'epoch': 0.25}
{'loss': 0.4137, 'grad_norm': 0.86718808257309, 'learning_rate': 4.410934120044838e-05, 'epoch': 0.25}
{'loss': 0.4755, 'grad_norm': 0.8875109631451992, 'learning_rate': 4.3919788035264705e-05, 'epoch': 0.26}
{'loss': 0.4564, 'grad_norm': 0.7027546550070944, 'learning_rate': 4.3727654354321755e-05, 'epoch': 0.26}
{'loss': 0.396, 'grad_norm': 0.45214184904647353, 'learning_rate': 4.353296636319808e-05, 'epoch': 0.26}
{'loss': 0.4127, 'grad_norm': 0.5660876307355595, 'learning_rate': 4.333575061586079e-05, 'epoch': 0.27}
{'loss': 0.3691, 'grad_norm': 0.6271198295865308, 'learning_rate': 4.31360340110438e-05, 'epoch': 0.27}
{'loss': 0.4527, 'grad_norm': 0.5550765167902324, 'learning_rate': 4.293384378857903e-05, 'epoch': 0.27}
{'loss': 0.4391, 'grad_norm': 0.6040326209760155, 'learning_rate': 4.272920752568112e-05, 'epoch': 0.28}
{'loss': 0.3812, 'grad_norm': 0.5364695277949536, 'learning_rate': 4.2522153133186074e-05, 'epoch': 0.28}
{'loss': 0.4477, 'grad_norm': 0.7362810528616798, 'learning_rate': 4.231270885174448e-05, 'epoch': 0.28}
{'loss': 0.3461, 'grad_norm': 0.5853389795440387, 'learning_rate': 4.2100903247969644e-05, 'epoch': 0.29}
{'loss': 0.4227, 'grad_norm': 0.652138430320925, 'learning_rate': 4.188676521054139e-05, 'epoch': 0.29}
{'loss': 0.4014, 'grad_norm': 0.6825786392001542, 'learning_rate': 4.167032394626579e-05, 'epoch': 0.29}
{'loss': 0.442, 'grad_norm': 0.5264319644799974, 'learning_rate': 4.145160897609161e-05, 'epoch': 0.3}
{'loss': 0.4079, 'grad_norm': 0.5713612509615628, 'learning_rate': 4.123065013108388e-05, 'epoch': 0.3}
{'loss': 0.4473, 'grad_norm': 0.583007242819038, 'learning_rate': 4.1007477548355185e-05, 'epoch': 0.31}
{'loss': 0.505, 'grad_norm': 1.088606533003342, 'learning_rate': 4.0782121666955126e-05, 'epoch': 0.31}
{'loss': 0.3917, 'grad_norm': 0.8762372839270034, 'learning_rate': 4.055461322371873e-05, 'epoch': 0.31}
{'loss': 0.4939, 'grad_norm': 0.8707510550161581, 'learning_rate': 4.0324983249074136e-05, 'epoch': 0.32}
{'loss': 0.3772, 'grad_norm': 0.6030948768088726, 'learning_rate': 4.00932630628103e-05, 'epoch': 0.32}
{'loss': 0.4388, 'grad_norm': 0.7049878582947644, 'learning_rate': 3.985948426980521e-05, 'epoch': 0.32}
{'loss': 0.3858, 'grad_norm': 0.7921715677214234, 'learning_rate': 3.9623678755715224e-05, 'epoch': 0.33}
{'loss': 0.3968, 'grad_norm': 0.6156893683275749, 'learning_rate': 3.9385878682626087e-05, 'epoch': 0.33}
{'loss': 0.4163, 'grad_norm': 0.6610162632029122, 'learning_rate': 3.9146116484666294e-05, 'epoch': 0.33}
{'loss': 0.4442, 'grad_norm': 0.7872023477129383, 'learning_rate': 3.890442486358331e-05, 'epoch': 0.34}
{'loss': 0.4385, 'grad_norm': 0.6652747321841237, 'learning_rate': 3.8660836784283275e-05, 'epoch': 0.34}
{'loss': 0.3796, 'grad_norm': 0.672357422133393, 'learning_rate': 3.84153854703349e-05, 'epoch': 0.35}
{'loss': 0.4492, 'grad_norm': 0.692580000032043, 'learning_rate': 3.816810439943795e-05, 'epoch': 0.35}
{'loss': 0.4035, 'grad_norm': 0.6189061613111774, 'learning_rate': 3.791902729885721e-05, 'epoch': 0.35}
{'loss': 0.4677, 'grad_norm': 0.793313997023165, 'learning_rate': 3.766818814082228e-05, 'epoch': 0.36}
{'loss': 0.4391, 'grad_norm': 0.664234468680637, 'learning_rate': 3.7415621137894056e-05, 'epoch': 0.36}
{'loss': 0.4518, 'grad_norm': 0.954420675914589, 'learning_rate': 3.716136073829839e-05, 'epoch': 0.36}
{'loss': 0.3841, 'grad_norm': 0.5923941890461671, 'learning_rate': 3.6905441621227624e-05, 'epoch': 0.37}
{'loss': 0.4195, 'grad_norm': 0.5765528128122119, 'learning_rate': 3.664789869211058e-05, 'epoch': 0.37}
{'loss': 0.4556, 'grad_norm': 0.6589644551849176, 'learning_rate': 3.638876707785174e-05, 'epoch': 0.37}
{'loss': 0.459, 'grad_norm': 0.6635274301666576, 'learning_rate': 3.6128082122040224e-05, 'epoch': 0.38}
{'loss': 0.4066, 'grad_norm': 0.7671458272038498, 'learning_rate': 3.5865879380129157e-05, 'epoch': 0.38}
{'loss': 0.4121, 'grad_norm': 0.5305216132788715, 'learning_rate': 3.560219461458618e-05, 'epoch': 0.38}
{'loss': 0.3729, 'grad_norm': 0.6802900499930156, 'learning_rate': 3.533706379001577e-05, 'epoch': 0.39}
{'loss': 0.4383, 'grad_norm': 0.663749743835238, 'learning_rate': 3.507052306825383e-05, 'epoch': 0.39}
{'loss': 0.4097, 'grad_norm': 0.6431839497089465, 'learning_rate': 3.4802608803435646e-05, 'epoch': 0.4}
{'loss': 0.3872, 'grad_norm': 0.545491716889834, 'learning_rate': 3.453335753703731e-05, 'epoch': 0.4}
{'loss': 0.3985, 'grad_norm': 0.6925026636052944, 'learning_rate': 3.426280599289182e-05, 'epoch': 0.4}
{'loss': 0.3606, 'grad_norm': 0.5624723675228785, 'learning_rate': 3.39909910721802e-05, 'epoch': 0.41}
{'loss': 0.385, 'grad_norm': 0.4242719968580422, 'learning_rate': 3.3717949848398485e-05, 'epoch': 0.41}
{'loss': 0.422, 'grad_norm': 0.654429459290254, 'learning_rate': 3.3443719562301147e-05, 'epoch': 0.41}
{'loss': 0.4552, 'grad_norm': 1.0593291883998017, 'learning_rate': 3.3168337616821745e-05, 'epoch': 0.42}
{'loss': 0.4097, 'grad_norm': 0.6983537906071986, 'learning_rate': 3.289184157197146e-05, 'epoch': 0.42}
{'loss': 0.4208, 'grad_norm': 0.6923411728563222, 'learning_rate': 3.26142691397162e-05, 'epoch': 0.42}
{'loss': 0.4346, 'grad_norm': 0.7095977063918749, 'learning_rate': 3.233565817883292e-05, 'epoch': 0.43}
{'loss': 0.4398, 'grad_norm': 0.6715089698361872, 'learning_rate': 3.205604668974607e-05, 'epoch': 0.43}
{'loss': 0.3718, 'grad_norm': 0.5943941269920149, 'learning_rate': 3.1775472809344505e-05, 'epoch': 0.44}
{'loss': 0.4737, 'grad_norm': 0.7800849983438821, 'learning_rate': 3.149397480578002e-05, 'epoch': 0.44}
{'loss': 0.449, 'grad_norm': 0.5700179029416004, 'learning_rate': 3.1211591073247784e-05, 'epoch': 0.44}
{'loss': 0.404, 'grad_norm': 0.6680768946665208, 'learning_rate': 3.0928360126749676e-05, 'epoch': 0.45}
{'loss': 0.3897, 'grad_norm': 0.5566087672150405, 'learning_rate': 3.064432059684117e-05, 'epoch': 0.45}
{'loss': 0.4115, 'grad_norm': 0.6052420541119926, 'learning_rate': 3.035951122436235e-05, 'epoch': 0.45}
{'loss': 0.3952, 'grad_norm': 0.5658335659617801, 'learning_rate': 3.0073970855154053e-05, 'epoch': 0.46}
{'loss': 0.4289, 'grad_norm': 0.6072673886028737, 'learning_rate': 2.978773843475947e-05, 'epoch': 0.46}
{'loss': 0.4176, 'grad_norm': 0.8301940516295249, 'learning_rate': 2.9500853003112384e-05, 'epoch': 0.46}
{'loss': 0.4488, 'grad_norm': 0.8469272448366922, 'learning_rate': 2.9213353689212337e-05, 'epoch': 0.47}
{'loss': 0.4382, 'grad_norm': 0.5998514458709161, 'learning_rate': 2.892527970578775e-05, 'epoch': 0.47}
{'loss': 0.3963, 'grad_norm': 0.7626218130408833, 'learning_rate': 2.8636670343947646e-05, 'epoch': 0.47}
{'loss': 0.408, 'grad_norm': 0.8061544220247012, 'learning_rate': 2.834756496782258e-05, 'epoch': 0.48}
{'loss': 0.3872, 'grad_norm': 0.45539016729960463, 'learning_rate': 2.805800300919572e-05, 'epoch': 0.48}
{'loss': 0.3947, 'grad_norm': 0.511487138939029, 'learning_rate': 2.776802396212461e-05, 'epoch': 0.49}
{'loss': 0.4593, 'grad_norm': 0.8903614799928851, 'learning_rate': 2.7477667377554507e-05, 'epoch': 0.49}
{'loss': 0.3992, 'grad_norm': 0.6878963582547764, 'learning_rate': 2.718697285792392e-05, 'epoch': 0.49}
{'loss': 0.4222, 'grad_norm': 0.5282382769044042, 'learning_rate': 2.6895980051763142e-05, 'epoch': 0.5}
{'loss': 0.3928, 'grad_norm': 0.5467160609372473, 'learning_rate': 2.660472864828649e-05, 'epoch': 0.5}
{'loss': 0.379, 'grad_norm': 0.540444827732791, 'learning_rate': 2.6313258371978994e-05, 'epoch': 0.5}
{'loss': 0.3802, 'grad_norm': 0.6597241565956352, 'learning_rate': 2.602160897717828e-05, 'epoch': 0.51}
{'loss': 0.4248, 'grad_norm': 0.5481545907132612, 'learning_rate': 2.5729820242652375e-05, 'epoch': 0.51}
{'loss': 0.4594, 'grad_norm': 0.8204879035901765, 'learning_rate': 2.54379319661742e-05, 'epoch': 0.51}
