Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 0.3803, 'grad_norm': 0.6446231346131674, 'learning_rate': 4.6913290907099885e-05, 'epoch': 0.19}
{'loss': 0.3682, 'grad_norm': 0.8059970008835332, 'learning_rate': 4.6771261820016666e-05, 'epoch': 0.19}
{'loss': 0.4476, 'grad_norm': 0.9667633180080208, 'learning_rate': 4.6626263297751546e-05, 'epoch': 0.2}
{'loss': 0.4067, 'grad_norm': 1.1287465617066084, 'learning_rate': 4.6478315117004537e-05, 'epoch': 0.2}
{'loss': 0.3918, 'grad_norm': 0.6459082060710397, 'learning_rate': 4.632743745678667e-05, 'epoch': 0.21}
{'loss': 0.4411, 'grad_norm': 0.7721024923354353, 'learning_rate': 4.617365089566782e-05, 'epoch': 0.21}
{'loss': 0.366, 'grad_norm': 1.0029245765626977, 'learning_rate': 4.6016976408969893e-05, 'epoch': 0.21}
{'loss': 0.4492, 'grad_norm': 1.1241353753626782, 'learning_rate': 4.585743536590599e-05, 'epoch': 0.22}
{'loss': 0.4139, 'grad_norm': 1.0209635347155628, 'learning_rate': 4.5695049526665736e-05, 'epoch': 0.22}
{'loss': 0.4302, 'grad_norm': 1.0980903709224128, 'learning_rate': 4.552984103944746e-05, 'epoch': 0.22}
{'loss': 0.4057, 'grad_norm': 1.9188331292991676, 'learning_rate': 4.5361832437437254e-05, 'epoch': 0.23}
{'loss': 0.409, 'grad_norm': 0.9492470674895521, 'learning_rate': 4.5191046635735666e-05, 'epoch': 0.23}
{'loss': 0.418, 'grad_norm': 0.8875780900877362, 'learning_rate': 4.5017506928232247e-05, 'epoch': 0.23}
{'loss': 0.4075, 'grad_norm': 1.0901688579990658, 'learning_rate': 4.4841236984428426e-05, 'epoch': 0.24}
{'loss': 0.4809, 'grad_norm': 0.927250148025931, 'learning_rate': 4.466226084620919e-05, 'epoch': 0.24}
{'loss': 0.4421, 'grad_norm': 0.9270164740612289, 'learning_rate': 4.4480602924563954e-05, 'epoch': 0.24}
{'loss': 0.3692, 'grad_norm': 0.6483899868285402, 'learning_rate': 4.4296287996257034e-05, 'epoch': 0.25}
{'loss': 0.4102, 'grad_norm': 0.9265597423791332, 'learning_rate': 4.410934120044838e-05, 'epoch': 0.25}
{'loss': 0.466, 'grad_norm': 0.9119249069439538, 'learning_rate': 4.3919788035264705e-05, 'epoch': 0.26}
{'loss': 0.4562, 'grad_norm': 0.7558829455091062, 'learning_rate': 4.3727654354321755e-05, 'epoch': 0.26}
{'loss': 0.3967, 'grad_norm': 0.518539904001332, 'learning_rate': 4.353296636319808e-05, 'epoch': 0.26}
{'loss': 0.4109, 'grad_norm': 0.5660492509077095, 'learning_rate': 4.333575061586079e-05, 'epoch': 0.27}
