Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 0.3812, 'grad_norm': 0.6197230995246876, 'learning_rate': 4.6913290907099885e-05, 'epoch': 0.19}
{'loss': 0.3702, 'grad_norm': 0.7509153983260362, 'learning_rate': 4.6771261820016666e-05, 'epoch': 0.19}
{'loss': 0.4331, 'grad_norm': 0.9115769175549331, 'learning_rate': 4.6626263297751546e-05, 'epoch': 0.2}
{'loss': 0.4236, 'grad_norm': 1.0495074448811461, 'learning_rate': 4.6478315117004537e-05, 'epoch': 0.2}
{'loss': 0.3954, 'grad_norm': 0.6517207319761559, 'learning_rate': 4.632743745678667e-05, 'epoch': 0.21}
{'loss': 0.4553, 'grad_norm': 0.7805338049308304, 'learning_rate': 4.617365089566782e-05, 'epoch': 0.21}
{'loss': 0.3803, 'grad_norm': 1.0216326281823946, 'learning_rate': 4.6016976408969893e-05, 'epoch': 0.21}
{'loss': 0.4558, 'grad_norm': 1.102323015097371, 'learning_rate': 4.585743536590599e-05, 'epoch': 0.22}
{'loss': 0.4166, 'grad_norm': 0.9185385634021307, 'learning_rate': 4.5695049526665736e-05, 'epoch': 0.22}
{'loss': 0.4213, 'grad_norm': 0.9806221597185295, 'learning_rate': 4.552984103944746e-05, 'epoch': 0.22}
{'loss': 0.4187, 'grad_norm': 0.6668298540789465, 'learning_rate': 4.5361832437437254e-05, 'epoch': 0.23}
{'loss': 0.405, 'grad_norm': 0.8529687488499305, 'learning_rate': 4.5191046635735666e-05, 'epoch': 0.23}
{'loss': 0.4169, 'grad_norm': 0.8085552966004556, 'learning_rate': 4.5017506928232247e-05, 'epoch': 0.23}
{'loss': 0.3955, 'grad_norm': 0.9503062790878021, 'learning_rate': 4.4841236984428426e-05, 'epoch': 0.24}
{'loss': 0.484, 'grad_norm': 0.9774076502887504, 'learning_rate': 4.466226084620919e-05, 'epoch': 0.24}
{'loss': 0.4504, 'grad_norm': 0.847617756761057, 'learning_rate': 4.4480602924563954e-05, 'epoch': 0.24}
{'loss': 0.3724, 'grad_norm': 0.5667271520687185, 'learning_rate': 4.4296287996257034e-05, 'epoch': 0.25}
{'loss': 0.4168, 'grad_norm': 0.8453999676056259, 'learning_rate': 4.410934120044838e-05, 'epoch': 0.25}
{'loss': 0.4663, 'grad_norm': 0.8248856516036143, 'learning_rate': 4.3919788035264705e-05, 'epoch': 0.26}
{'loss': 0.4561, 'grad_norm': 0.7241060831336467, 'learning_rate': 4.3727654354321755e-05, 'epoch': 0.26}
{'loss': 0.3927, 'grad_norm': 0.5235852220624218, 'learning_rate': 4.353296636319808e-05, 'epoch': 0.26}
{'loss': 0.4096, 'grad_norm': 0.4891180617472222, 'learning_rate': 4.333575061586079e-05, 'epoch': 0.27}
{'loss': 0.368, 'grad_norm': 0.6404423677308656, 'learning_rate': 4.31360340110438e-05, 'epoch': 0.27}
{'loss': 0.4344, 'grad_norm': 0.5405722446496405, 'learning_rate': 4.293384378857903e-05, 'epoch': 0.27}
{'loss': 0.4409, 'grad_norm': 0.6313848737699108, 'learning_rate': 4.272920752568112e-05, 'epoch': 0.28}
{'loss': 0.3817, 'grad_norm': 0.5056598219447636, 'learning_rate': 4.2522153133186074e-05, 'epoch': 0.28}
{'loss': 0.4579, 'grad_norm': 5.6933181313141725, 'learning_rate': 4.231270885174448e-05, 'epoch': 0.28}
{'loss': 0.3454, 'grad_norm': 0.5475832772624855, 'learning_rate': 4.2100903247969644e-05, 'epoch': 0.29}
{'loss': 0.4247, 'grad_norm': 0.6337108995090899, 'learning_rate': 4.188676521054139e-05, 'epoch': 0.29}
{'loss': 0.3985, 'grad_norm': 0.6713426914026102, 'learning_rate': 4.167032394626579e-05, 'epoch': 0.29}
{'loss': 0.4509, 'grad_norm': 0.531998039552265, 'learning_rate': 4.145160897609161e-05, 'epoch': 0.3}
{'loss': 0.4093, 'grad_norm': 0.5574948731735903, 'learning_rate': 4.123065013108388e-05, 'epoch': 0.3}
