Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 0.3817, 'grad_norm': 0.59413106161726, 'learning_rate': 4.6913290907099885e-05, 'epoch': 0.19}
{'loss': 0.3705, 'grad_norm': 0.7795905933242547, 'learning_rate': 4.6771261820016666e-05, 'epoch': 0.19}
{'loss': 0.4388, 'grad_norm': 0.9125758520919256, 'learning_rate': 4.6626263297751546e-05, 'epoch': 0.2}
{'loss': 0.4067, 'grad_norm': 1.1515155794600966, 'learning_rate': 4.6478315117004537e-05, 'epoch': 0.2}
{'loss': 0.3976, 'grad_norm': 0.6375062929300015, 'learning_rate': 4.632743745678667e-05, 'epoch': 0.21}
{'loss': 0.4511, 'grad_norm': 0.8162407867849607, 'learning_rate': 4.617365089566782e-05, 'epoch': 0.21}
{'loss': 0.3637, 'grad_norm': 0.9869638404693062, 'learning_rate': 4.6016976408969893e-05, 'epoch': 0.21}
{'loss': 0.4505, 'grad_norm': 1.062174489209459, 'learning_rate': 4.585743536590599e-05, 'epoch': 0.22}
{'loss': 0.4257, 'grad_norm': 0.9938397436319091, 'learning_rate': 4.5695049526665736e-05, 'epoch': 0.22}
{'loss': 0.4349, 'grad_norm': 1.0587129364851737, 'learning_rate': 4.552984103944746e-05, 'epoch': 0.22}
{'loss': 0.4061, 'grad_norm': 0.7554917568417955, 'learning_rate': 4.5361832437437254e-05, 'epoch': 0.23}
{'loss': 0.4116, 'grad_norm': 0.9310012406826326, 'learning_rate': 4.5191046635735666e-05, 'epoch': 0.23}
{'loss': 0.4145, 'grad_norm': 0.9293018112119954, 'learning_rate': 4.5017506928232247e-05, 'epoch': 0.23}
{'loss': 0.3979, 'grad_norm': 0.9857861879373269, 'learning_rate': 4.4841236984428426e-05, 'epoch': 0.24}
{'loss': 0.4833, 'grad_norm': 0.9352247993545904, 'learning_rate': 4.466226084620919e-05, 'epoch': 0.24}
{'loss': 0.4519, 'grad_norm': 0.9009681982482515, 'learning_rate': 4.4480602924563954e-05, 'epoch': 0.24}
{'loss': 0.3722, 'grad_norm': 0.5889848777733402, 'learning_rate': 4.4296287996257034e-05, 'epoch': 0.25}
{'loss': 0.4127, 'grad_norm': 0.9045254776882365, 'learning_rate': 4.410934120044838e-05, 'epoch': 0.25}
{'loss': 0.47, 'grad_norm': 0.9240603243881625, 'learning_rate': 4.3919788035264705e-05, 'epoch': 0.26}
{'loss': 0.4599, 'grad_norm': 0.7612559734547075, 'learning_rate': 4.3727654354321755e-05, 'epoch': 0.26}
{'loss': 0.3955, 'grad_norm': 0.4933271265872485, 'learning_rate': 4.353296636319808e-05, 'epoch': 0.26}
{'loss': 0.4061, 'grad_norm': 0.5576758023653664, 'learning_rate': 4.333575061586079e-05, 'epoch': 0.27}
{'loss': 0.3644, 'grad_norm': 0.6461269133484994, 'learning_rate': 4.31360340110438e-05, 'epoch': 0.27}
{'loss': 0.4433, 'grad_norm': 0.6656562488247855, 'learning_rate': 4.293384378857903e-05, 'epoch': 0.27}
{'loss': 0.4398, 'grad_norm': 0.6284046478018837, 'learning_rate': 4.272920752568112e-05, 'epoch': 0.28}
{'loss': 0.388, 'grad_norm': 0.5790679017788749, 'learning_rate': 4.2522153133186074e-05, 'epoch': 0.28}
{'loss': 0.4387, 'grad_norm': 0.733143016926251, 'learning_rate': 4.231270885174448e-05, 'epoch': 0.28}
{'loss': 0.3417, 'grad_norm': 0.5419996246854845, 'learning_rate': 4.2100903247969644e-05, 'epoch': 0.29}
{'loss': 0.4215, 'grad_norm': 0.682314357326116, 'learning_rate': 4.188676521054139e-05, 'epoch': 0.29}
{'loss': 0.3946, 'grad_norm': 0.6411412434810803, 'learning_rate': 4.167032394626579e-05, 'epoch': 0.29}
{'loss': 0.4536, 'grad_norm': 0.5964156899939703, 'learning_rate': 4.145160897609161e-05, 'epoch': 0.3}
{'loss': 0.4112, 'grad_norm': 0.5975740924538884, 'learning_rate': 4.123065013108388e-05, 'epoch': 0.3}
{'loss': 0.4553, 'grad_norm': 0.687732040349037, 'learning_rate': 4.1007477548355185e-05, 'epoch': 0.31}
{'loss': 0.5009, 'grad_norm': 1.148673678564354, 'learning_rate': 4.0782121666955126e-05, 'epoch': 0.31}
{'loss': 0.3925, 'grad_norm': 1.0335106015686506, 'learning_rate': 4.055461322371873e-05, 'epoch': 0.31}
{'loss': 0.5001, 'grad_norm': 0.8116918018886178, 'learning_rate': 4.0324983249074136e-05, 'epoch': 0.32}
{'loss': 0.3833, 'grad_norm': 0.5974353670645691, 'learning_rate': 4.00932630628103e-05, 'epoch': 0.32}
{'loss': 0.4317, 'grad_norm': 0.6544060142921432, 'learning_rate': 3.985948426980521e-05, 'epoch': 0.32}
{'loss': 0.391, 'grad_norm': 0.8551601035278183, 'learning_rate': 3.9623678755715224e-05, 'epoch': 0.33}
